Hauts-de-France par commune( 2018),,,
,,Indic1,
80548,Millencourt-en-Ponthieu,0,641
80549,Miraumont,0,504
80550,Mirvaux,0,473
80551,Misery,0,435
80552,Moislains,0,326
80553,Molliens-au-Bois,0,486
80554,Molliens-Dreuil,0,56
80555,Monchy-Lagache,0,415
80556,Mons-Boubert,0,593
80557,Estrées-Mons,0,405
80558,Monsures,0,654
80559,Montagne-Fayel,0,525
80560,Montauban-de-Picardie,0,542
80561,Montdidier,0,279
80562,Montigny-sur-l'Hallue,0,524
80563,Montigny-les-Jongleurs,N/A - résultat non disponible,
80565,Montonvillers,N/A - résultat non disponible,
80566,Fieffes-Montrelet,0,475
80568,Morchain,0,438
80569,Morcourt,0,356
80570,Moreuil,0,433
80571,Morisel,0,491
80572,Morlancourt,0,498
80573,Morvillers-Saint-Saturnin,0,531
80574,Mouflers,N/A - résultat non disponible,
80575,Mouflières,N/A - résultat non disponible,
80576,Moyencourt,0,362
80577,Moyencourt-lès-Poix,0,6
80578,Moyenneville,0,652
80579,Muille-Villette,0,41
80580,Nampont,0,452
80582,Namps-Maisnil,0,646
80583,Nampty,0,731
80584,Naours,0,412
80585,Nesle,0,312
80586,Nesle-l'Hôpital,0,447
80587,Neslette,N/A - résultat non disponible,
80588,Neufmoulin,0,592
80589,Neuilly-le-Dien,N/A - résultat non disponible,
80590,Neuilly-l'Hôpital,0,618
80591,Neuville-au-Bois,0,39
80592,Neuville-Coppegueule,0,394
80593,La Neuville-lès-Bray,0,471
80594,Neuville-lès-Loeuilly,0,65
80595,La Neuville-Sire-Bernard,0,495
80596,Neuvillette,0,465
80597,Nibas,0,476
80598,Nouvion,0,548
80599,Noyelles-en-Chaussée,0,353
80600,Noyelles-sur-Mer,0,543
80601,Nurlu,0,392
80602,Occoches,0,457
80603,Ochancourt,0,547
80604,Offignies,N/A - résultat non disponible,
80605,Offoy,0,452
80606,Oisemont,0,421
80607,Oissy,0,596
80609,Oneux,0,444
80611,Oresmaux,0,666
80613,Oust-Marest,0,451
80614,Outrebois,0,447
80615,Ovillers-la-Boisselle,0,562
80616,Pargny,0,397
80617,Parvillers-le-Quesnoy,0,523
80618,Pendé,0,403
80619,Pernois,0,508
80620,Péronne,0,311
80621,Hypercourt,0,414
80622,Picquigny,0,516
80623,Piennes-Onvillers,0,391
80624,Pierregot,0,518
80625,Pierrepont-sur-Avre,0,57
80626,Pissy,0,614
80627,Plachy-Buyon,0,732
80628,Le Plessier-Rozainvillers,0,502
80629,Poeuilly,0,468
80630,Poix-de-Picardie,0,455
80631,Ponches-Estruval,0,385
80632,Pont-de-Metz,0,796
80633,Ponthoile,0,575
80634,Pont-Noyelles,0,457
80635,Pont-Remy,0,348
80637,Port-le-Grand,0,639
80638,Potte,0,434
80639,Poulainville,0,703
80640,Pozières,0,515
80642,Prouville,0,404
80643,Prouzel,0,712
80644,Proyart,0,443
80645,Puchevillers,0,533
80646,Punchy,N/A - résultat non disponible,
80647,Puzeaux,0,358
80648,Pys,0,44
80649,Quend,0,412
80650,Querrieu,0,756
80651,Le Quesne,0,439
80652,Le Quesnel,0,515
80654,Quesnoy-le-Montant,0,623
80655,Quesnoy-sur-Airaines,0,536
80656,Quevauvillers,0,569
80657,Quiry-le-Sec,0,616
80658,Quivières,0,327
80659,Raincheval,0,522
80661,Rainneville,0,746
80662,Ramburelles,0,484
80663,Rambures,0,448
80664,Rancourt,0,44
80665,Regnière-Écluse,0,426
80666,Remaisnil,N/A - résultat non disponible,
80667,Remaugies,0,372
80668,Remiencourt,0,643
80669,Rethonvillers,0,4
80670,Revelles,0,639
80671,Ribeaucourt,0,409
80672,Ribemont-sur-Ancre,0,39
80673,Riencourt,0,6
80674,Rivery,0,712
80675,Rogy,0,635
80676,Roiglise,0,347
80677,Roisel,0,343
80678,Rollot,0,337
80679,Ronssoy,0,373
80680,Rosières-en-Santerre,0,414
80681,Rouvrel,0,654
80682,Rouvroy-en-Santerre,0,483
80683,Rouy-le-Grand,0,499
80684,Rouy-le-Petit,0,425
80685,Roye,0,264
80686,Rubempré,0,474
80687,Rubescourt,0,327
80688,Rue,0,358
80690,Rumigny,0,797
80691,Saigneville,0,611
80692,Sailly-Flibeaucourt,0,538
80693,Sailly-Laurette,0,397
80694,Sailly-le-Sec,0,384
80695,Sailly-Saillisel,0,316
80696,Sains-en-Amiénois,0,856
80697,Saint-Acheul,N/A - résultat non disponible,
80698,Saint-Aubin-Montenoy,0,583
80699,Saint-Aubin-Rivière,0,4
80700,Saint-Blimont,0,417
80701,Saint-Christ-Briost,0,365
80702,Saint-Fuscien,0,915
80703,Saint-Germain-sur-Bresle,0,522
80704,Saint-Gratien,0,737
80705,Saint-Léger-lès-Authie,N/A - résultat non disponible,
80706,Saint-Léger-lès-Domart,0,398
80707,Saint-Léger-sur-Bresle,N/A - résultat non disponible,
80708,Saint-Mard,0,399
80709,Saint-Maulvis,0,46
80710,Saint-Maxent,0,531
80711,Saint-Ouen,0,355
80713,Saint-Quentin-en-Tourmont,0,486
80714,Saint-Quentin-la-Motte-Croix-au-Bailly,0,485
80716,Saint-Riquier,0,464
80717,Saint-Sauflieu,0,677
80718,Saint-Sauveur,0,573
80719,Sainte-Segrée,N/A - résultat non disponible,
80721,Saint-Valery-sur-Somme,0,596
80722,Saint-Vaast-en-Chaussée,0,6
80723,Saisseval,0,598
80724,Saleux,0,706
80725,Salouël,0,797
80726,Sancourt,0,506
80728,Saulchoy-sous-Poix,N/A - résultat non disponible,
80729,Sauvillers-Mongival,0,614
80730,Saveuse,0,665
80732,Senarpont,0,412
80733,Senlis-le-Sec,0,52
80734,Sentelie,0,593
80735,Seux,0,585
80736,Sorel-en-Vimeu,0,577
80737,Sorel,0,276
80738,Soues,0,568
80740,Sourdon,0,664
80741,Soyécourt,0,41
80742,Surcamps,N/A - résultat non disponible,
80743,Suzanne,0,555
80744,Tailly,N/A - résultat non disponible,
80746,Talmas,0,476
80747,Templeux-la-Fosse,0,377
80748,Templeux-le-Guérard,0,303
80749,Terramesnil,0,477
80750,Tertry,0,402
80751,Thennes,0,624
80752,Thézy-Glimont,0,744
80753,Thiepval,0,423
80754,Thieulloy-l'Abbaye,0,536
80755,Thieulloy-la-Ville,0,531
80756,Thièvres,N/A - résultat non disponible,
80757,Thoix,0,63
80758,Thory,0,678
80759,Tilloloy,0,355
80760,Tilloy-Floriville,0,551
80761,Tilloy-lès-Conty,0,649
80762,Tincourt-Boucly,0,363
80763,Le Titre,0,651
80764,Toeufles,0,596
80765,Tours-en-Vimeu,0,597
80766,Toutencourt,0,5
80767,Le Translay,0,504
80769,Treux,0,413
80770,Tully,0,399
80771,Ugny-l'Équipée,N/A - résultat non disponible,
80773,Vadencourt,N/A - résultat non disponible,
80774,Vaire-sous-Corbie,0,415
80775,Valines,0,396
80776,Varennes,0,514
80777,Vauchelles-lès-Authie,0,499
80778,Vauchelles-lès-Domart,0,535
80779,Vauchelles-les-Quesnoy,0,636
80780,Vaudricourt,0,474
80781,Vauvillers,0,471
80782,Vaux-en-Amiénois,0,552
80783,Vaux-Marquenneville,N/A - résultat non disponible,
80784,Vaux-sur-Somme,0,429
80785,Vecquemont,0,754
80786,Velennes,0,617
80787,Vercourt,N/A - résultat non disponible,
80788,Vergies,0,526
80789,Vermandovillers,0,421
80790,Verpillières,0,345
80791,Vers-sur-Selle,0,787
80792,La Vicogne,0,394
80793,Vignacourt,0,508
80794,Villecourt,N/A - résultat non disponible,
80795,Ville-le-Marclet,0,449
80796,Villeroy,0,449
80797,Villers-aux-Érables,0,524
80798,Villers-Bocage,0,777
80799,Villers-Bretonneux,0,572
80800,Villers-Campsart,0,548
80801,Villers-Carbonnel,0,388
80802,Villers-Faucon,0,334
80803,Villers-lès-Roye,0,39
80804,Villers-sous-Ailly,0,46
80805,Villers-Tournelle,0,471
80806,Villers-sur-Authie,0,402
80807,Ville-sur-Ancre,0,563
80808,Vironchaux,0,376
80809,Vismes,0,561
80810,Vitz-sur-Authie,0,364
80811,Voyennes,0,401
80812,Vraignes-en-Vermandois,0,446
80813,Vraignes-lès-Hornoy,N/A - résultat non disponible,
80814,Vrély,0,486
80815,Vron,0,414
80819,Wargnies,N/A - résultat non disponible,
80820,Warloy-Baillon,0,375
80821,Warlus,0,52
80822,Warsy,0,377
80823,Warvillers,0,479
80824,Wiencourt-l'Équipée,0,562
80825,Wiry-au-Mont,0,538
80826,Woignarue,0,424
80827,Woincourt,0,386
80828,Woirel,N/A - résultat non disponible,
80829,Y,N/A - résultat non disponible,
80830,Yaucourt-Bussus,0,481
80832,Yvrench,0,345
80833,Yvrencheux,0,403
80834,Yzengremer,0,445
80835,Yzeux,0,668
80836,Yonval,0,696
